,Product_Code,Warehouse,Product_Category,Date,Returns,month_year,year
147,Product_1299,Whse_A,Category_019,2017-06-14,100.0,2017-06,2017
148,Product_1478,Whse_A,Category_019,2017-06-14,1000.0,2017-06,2017
149,Product_1293,Whse_A,Category_019,2017-09-10,925.0,2017-09,2017
150,Product_0981,Whse_A,Category_028,2017-06-14,1000.0,2017-06,2017
151,Product_0984,Whse_A,Category_028,2017-06-28,400.0,2017-06,2017
152,Product_0547,Whse_A,Category_013,2017-05-29,160.0,2017-05,2017
153,Product_0565,Whse_A,Category_015,2017-03-08,1.0,2017-03,2017
154,Product_0151,Whse_A,Category_015,2017-03-26,8.0,2017-03,2017
155,Product_0496,Whse_A,Category_015,2017-03-26,8.0,2017-03,2017
156,Product_0301,Whse_A,Category_015,2017-11-26,380.0,2017-11,2017
157,Product_0453,Whse_A,Category_015,2017-12-18,70.0,2017-12,2017
158,Product_0634,Whse_A,Category_007,2017-12-18,10.0,2017-12,2017
159,Product_0206,Whse_A,Category_007,2017-12-19,150.0,2017-12,2017
160,Product_1807,Whse_A,Category_024,2017-11-09,2.0,2017-11,2017
161,Product_1847,Whse_A,Category_024,2017-11-09,100.0,2017-11,2017
162,Product_1839,Whse_A,Category_006,2017-12-18,1000.0,2017-12,2017
163,Product_0249,Whse_A,Category_007,2017-09-13,3.0,2017-09,2017
164,Product_0981,Whse_A,Category_028,2016-12-15,4000.0,2016-12,2016
165,Product_0989,Whse_A,Category_028,2017-07-06,2400.0,2017-07,2017
166,Product_1250,Whse_A,Category_019,2017-02-23,900.0,2017-02,2017
167,Product_1672,Whse_A,Category_026,2017-02-23,5.0,2017-02,2017
168,Product_0193,Whse_A,Category_007,2017-05-09,8.0,2017-05,2017
169,Product_0460,Whse_A,Category_015,2017-06-25,36.0,2017-06,2017
170,Product_0471,Whse_A,Category_015,2016-12-14,1.0,2016-12,2016
171,Product_2128,Whse_A,Category_009,2016-12-22,30.0,2016-12,2016
172,Product_2138,Whse_A,Category_009,2016-12-22,30.0,2016-12,2016
173,Product_1839,Whse_A,Category_006,2017-03-26,1000.0,2017-03,2017
174,Product_1629,Whse_A,Category_019,2017-10-25,5000.0,2017-10,2017
175,Product_1669,Whse_A,Category_026,2017-03-26,10.0,2017-03,2017
176,Product_0191,Whse_A,Category_007,2017-03-20,43.0,2017-03,2017
177,Product_1976,Whse_A,Category_007,2017-03-20,1.0,2017-03,2017
178,Product_0349,Whse_A,Category_021,2017-03-20,1.0,2017-03,2017
179,Product_0425,Whse_A,Category_019,2017-12-12,1500.0,2017-12,2017
180,Product_2039,Whse_A,Category_011,2017-04-27,50.0,2017-04,2017
181,Product_0206,Whse_A,Category_007,2017-10-16,1350.0,2017-10,2017
182,Product_2136,Whse_A,Category_009,2017-12-04,300.0,2017-12,2017
183,Product_2052,Whse_A,Category_021,2017-10-16,1000.0,2017-10,2017
184,Product_2052,Whse_A,Category_021,2017-11-20,4.0,2017-11,2017
185,Product_1792,Whse_A,Category_024,2017-04-27,2.0,2017-04,2017
186,Product_1800,Whse_A,Category_017,2017-04-27,8.0,2017-04,2017
187,Product_1409,Whse_A,Category_019,2017-04-18,2000.0,2017-04,2017
188,Product_1622,Whse_A,Category_019,2017-06-21,18000.0,2017-06,2017
189,Product_1622,Whse_A,Category_019,2017-06-27,1000.0,2017-06,2017
190,Product_2138,Whse_A,Category_009,2017-04-05,40.0,2017-04,2017
191,Product_2144,Whse_A,Category_009,2017-04-05,20.0,2017-04,2017
192,Product_2138,Whse_A,Category_009,2017-04-18,43.0,2017-04,2017
193,Product_2128,Whse_A,Category_009,2017-07-26,200.0,2017-07,2017
194,Product_0200,Whse_A,Category_007,2017-12-06,10.0,2017-12,2017
195,Product_0200,Whse_A,Category_007,2017-12-06,30.0,2017-12,2017
196,Product_0486,Whse_A,Category_013,2017-10-15,6.0,2017-10,2017
197,Product_0353,Whse_A,Category_021,2017-12-06,4.0,2017-12,2017
198,Product_0274,Whse_A,Category_021,2017-02-27,40.0,2017-02,2017
